"dataset_id","n_abnj","n_all"
"0fd1dae1-3b8c-4e11-bcad-10c95de2e95f",130,228
"0fd4759b-edc9-4a49-b65a-08b4509c9b90",0,543
"0fe15290-30c3-4caa-a8e9-0c194ff6b84f",0,33737
"1004a490-c117-4712-9868-a8412420f4c8",7574,9593
"10183caa-348e-485c-a1be-6014f3c2ec7b",33,1686
"1029e0af-f938-4c51-9b68-2cb2f43147ae",0,161
"103a41ad-c2e8-4881-99c4-75bed7627ee4",0,891
"105b3c12-a0c1-497e-bc61-4d8a09c30a69",45,7613
"1083ddbc-ef6e-45a2-845f-cc5264f42e7a",0,190
"10a0eaee-7bdf-4784-a798-07b57e8ea072",0,2050
"10b213e6-a9c4-459e-a40c-ef9edc461b97",9363,40579
"10be7b68-5ffc-408b-afe3-703128c99f98",5,71
"10c69325-1aa3-4deb-ba1b-3f635b221a92",75,7198
"10fe54bb-b93b-4f00-bf4c-bd51542614ef",1290,22148
"110ee213-a99a-4ea8-b4b0-2704e4656c70",0,35
"11234afa-7c5c-4e0f-919a-c19242e47d53",0,38
"1123992d-bdd3-4fc4-ae83-aa3938a53781",0,33528
"1141b06c-205d-4452-b2de-6cc32eb79711",0,3626
"114f54a3-feb2-4b1b-acdf-998588743a06",0,1092
"117aa518-e105-48b6-aebf-dbb687577926",0,1013
"119099f9-1de1-4f2a-9dc2-d67cb50c521d",6,883
"11956d07-a010-4292-9076-82d5143c9932",0,171033
"11a72f2a-496b-4311-a540-27ec266de04b",3,3
"11ad961b-254a-4d01-8a2b-c148c6b013de",8,62
"11bc2cb2-a837-4cd1-9450-52e3bb427cf6",26147,466734
"11bdbc14-d56d-49f2-933a-6c879aa8e806",0,3
"11c9e3fc-84e2-45eb-95cb-0e8e3743f9f6",61,943
"11ca6599-6a0c-4de2-9790-b37853dbd7b3",0,30677
"12048e81-7ec0-4814-88cf-a501d696ca8c",0,45
"123d29bb-977b-4ea3-9c58-46cf79ed1523",0,2848
"125415a6-c5b8-4c81-9050-324deb4a0e5a",0,38
