"dataset_id","dataset_title","dataset_url","dataset_records","organization","organization_oceanexpert_id","organization_oceanexpert_typeid","organization_oceanexpert_typename","type_display","givenname","surname"
"2777a9c6-72e5-4271-b0fa-523aa34012a4","ANTAVIA TrackingKing","http://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,,,,,"Data manager","Yan","Ropert-Coudert"
"2777a9c6-72e5-4271-b0fa-523aa34012a4","ANTAVIA TrackingKing","http://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,,,,,"Data collector","Maryline","Le Vaillant"
"fa6daffa-808f-463f-96be-8b7b5801b3c9","ANTAVIA TrackingKing","https://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,"Antarctic Biodiversity Portal",19457,7,"International / Intergovernmental","Contact",,"Data Manager"
"fa6daffa-808f-463f-96be-8b7b5801b3c9","ANTAVIA TrackingKing","https://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,"Antarctic Biodiversity Portal",19457,7,"International / Intergovernmental","Creator",,"Data Manager"
"fa6daffa-808f-463f-96be-8b7b5801b3c9","ANTAVIA TrackingKing","https://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,"Antarctic Biodiversity Portal",19457,7,"International / Intergovernmental","Metadata Provider",,"Data Manager"
"fa6daffa-808f-463f-96be-8b7b5801b3c9","ANTAVIA TrackingKing","https://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,,,,,"Data collector","Claire","Saraux"
"fa6daffa-808f-463f-96be-8b7b5801b3c9","ANTAVIA TrackingKing","https://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,,,,,"Co-ordinator","Yvon","Le Maho"
"fa6daffa-808f-463f-96be-8b7b5801b3c9","ANTAVIA TrackingKing","https://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,,,,,"Data collector","Céline","Le Bohec"
"fa6daffa-808f-463f-96be-8b7b5801b3c9","ANTAVIA TrackingKing","https://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,,,,,"Data manager","Yan","Ropert-Coudert"
"fa6daffa-808f-463f-96be-8b7b5801b3c9","ANTAVIA TrackingKing","https://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,,,,,"Data collector","Maryline","Le Vaillant"
"6d6d7acc-b9d5-4b20-aa23-3ea5873a05bf","Southern Ocean Continuous Zooplankton Recorder (SO-CPR) Survey","http://ipt.obis.org/nonode/resource?r=socpr",93052,"Australian Antarctic Division (AAD)",5028,3,"Government","Contact","Graham","Hosie"
"6d6d7acc-b9d5-4b20-aa23-3ea5873a05bf","Southern Ocean Continuous Zooplankton Recorder (SO-CPR) Survey","http://ipt.obis.org/nonode/resource?r=socpr",93052,"Australian Antarctic Division Australian Antarctic Data Centre (AAD)",,,,"Creator",,
"6d6d7acc-b9d5-4b20-aa23-3ea5873a05bf","Southern Ocean Continuous Zooplankton Recorder (SO-CPR) Survey","http://ipt.obis.org/nonode/resource?r=socpr",93052,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental","Metadata Provider",,"OBIS Secretariat"
"5ad4244f-895a-4b9c-99be-1f88f5369023","Ecoscope tuna observer data","http://ipt.vliz.be/eurobis/resource?r=observe_tuna",92570,"Institut de Recherche pour le Développement (IRD)",15547,2,"Research","Contact","Pierre","Chavance"
"5ad4244f-895a-4b9c-99be-1f88f5369023","Ecoscope tuna observer data","http://ipt.vliz.be/eurobis/resource?r=observe_tuna",92570,"Institut de Recherche pour le Développement (IRD)",15547,2,"Research","Creator","Pierre","Chavance"
"5ad4244f-895a-4b9c-99be-1f88f5369023","Ecoscope tuna observer data","http://ipt.vliz.be/eurobis/resource?r=observe_tuna",92570,"Institut de Recherche pour le Développement (IRD)",15547,2,"Research","Contact","Céline","Rodriguez"
