"id","title","records","institute","oceanexpert_id","typeid","type"
"f62024d7-1126-41a8-8dde-ff257d232c4d","Ecoscope Observation Database",49294,"Flanders Marine Institute (VLIZ)",NA,NA,NA
"1f59030f-f116-4c34-915e-1882d819cda3","Discovery Collections Midwater Database",46732,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental"
"1f59030f-f116-4c34-915e-1882d819cda3","Discovery Collections Midwater Database",46732,"University of Southampton National Oceanography Centre (SOTON-NOC)",NA,NA,NA
"ac877b4d-d22c-4035-9008-05787b1ba7d1","Tagged Seal Location Data from SOGLOBEC",41552,"University of South Florida, College of Marine Science",5836,1,"Academic"
"ac877b4d-d22c-4035-9008-05787b1ba7d1","Tagged Seal Location Data from SOGLOBEC",41552,"Woods Hole Oceanographic Institution",9783,1,"Academic"
"ac877b4d-d22c-4035-9008-05787b1ba7d1","Tagged Seal Location Data from SOGLOBEC",41552,"Antarctic Biodiversity Information Facility",19457,7,"International / Intergovernmental"
"ac877b4d-d22c-4035-9008-05787b1ba7d1","Tagged Seal Location Data from SOGLOBEC",41552,"University of South Florida; College of Marine Science",NA,NA,NA
"ac877b4d-d22c-4035-9008-05787b1ba7d1","Tagged Seal Location Data from SOGLOBEC",41552,"Antarctic Biodiversity Information Facility (ANTABIF)",NA,NA,NA
"cdcddae2-a8e0-4c86-9e8d-f85134876937","PANGAEA - Data from various sources",40937,"Vlaams Instituut voor de Zee",6223,3,"Government"
"cdcddae2-a8e0-4c86-9e8d-f85134876937","PANGAEA - Data from various sources",40937,"Flanders Marine Institute (VLIZ)",NA,NA,NA
"5591f393-fc15-461f-ab1f-da45e72339ee","PANGAEA - Data from Joint Global Ocean Flux Study (JGOF)",32289,"Vlaams Instituut voor de Zee",6223,3,"Government"
"5591f393-fc15-461f-ab1f-da45e72339ee","PANGAEA - Data from Joint Global Ocean Flux Study (JGOF)",32289,"The National Science Foundation (NSF)",NA,NA,NA
"5591f393-fc15-461f-ab1f-da45e72339ee","PANGAEA - Data from Joint Global Ocean Flux Study (JGOF)",32289,"Flanders Marine Institute (VLIZ)",NA,NA,NA
"1ad423c7-dba3-426f-b814-f0808413a708","DFO Pacific IOS zooplankton database - Line P",30681,"Institute of Ocean Science (DFO – IOS), Fisheries and Oceans Canada",6741,3,"Government"
"1ad423c7-dba3-426f-b814-f0808413a708","DFO Pacific IOS zooplankton database - Line P",30681,"OBIS Canada",19633,7,"International / Intergovernmental"
"1ad423c7-dba3-426f-b814-f0808413a708","DFO Pacific IOS zooplankton database - Line P",30681,"Fisheries and Oceans Canada",19196,3,"Government"
"d338c518-7193-47a1-8922-bc71b54849f5","PANGAEA - Data from Climate: Long-range investigation, mapping and prediction (CLIMAP)",28851,"Vlaams Instituut voor de Zee",6223,3,"Government"
"d338c518-7193-47a1-8922-bc71b54849f5","PANGAEA - Data from Climate: Long-range investigation, mapping and prediction (CLIMAP)",28851,"Flanders Marine Institute (VLIZ)",NA,NA,NA
"11bc2cb2-a837-4cd1-9450-52e3bb427cf6","ECNASAP - East Coast North America Strategic Assessment",26049,"Fisheries and Oceans Canada – Bedford Institute of Oceanography",5070,3,"Government"
"11bc2cb2-a837-4cd1-9450-52e3bb427cf6","ECNASAP - East Coast North America Strategic Assessment",26049,"Fisheries and Oceans Canada",19196,3,"Government"
"f3c02ebd-f672-4787-ae0b-92263041cf0d","PANGAEA - Data from South Atlantic in the late Quaternary: reconstruction of budget and currents",23647,"Vlaams Instituut voor de Zee",6223,3,"Government"
"f3c02ebd-f672-4787-ae0b-92263041cf0d","PANGAEA - Data from South Atlantic in the late Quaternary: reconstruction of budget and currents",23647,"University of Bremen Centre for Marine Environmental Sciences (MARUM)",NA,NA,NA
